"No.","都道府県","自治体","親の年代","性別","子どもの数","妊娠中","未就学(保育園、幼稚園等)","小学生","中学生","高校生","大学生・大学院生","就職・その他","子ども世代","意見","備考"
"11","#REF!","#REF!","#REF!","#REF!","0","0","0","0","0","0","0","","","#REF!","#REF!"
"12","#REF!","#REF!","#REF!","#REF!","0","0","0","0","0","0","0","","","#REF!","#REF!"
"13","#REF!","#REF!","#REF!","#REF!","0","0","0","0","0","0","0","","","#REF!","#REF!"
"14","愛知県","","30〜39歳","女性","2","0","0","2","0","0","0","","小学生 ","収めるものしっかり収めてるのに100人以上子供が渡る、見通しが悪い交差点にいつまで経っても信号が立たない。保護者が毎日朝夕見守りして保護者の負担がひどい。子供のためにボランティアで見守りしているのに、周囲の車通勤車から苦情がくるのがつらい。増税するなら子供たちが安全に通学できるように交通整備して欲しい。できないなら減税か毎月一律給付金出すべき。",""
"15","東京都","小金井市","40〜49歳","女性","1","0","0","1","0","0","0","","小学生 ","都市部では、「働いていないと預けられない、預けないと働けない」の矛盾が解消していない。おかしいと思う。また、賃労働の有無・傷病や障害の有無に関わらず、子どもを預けられるようにしてほしい。民間保育園が一時保育枠を設定しても、赤字になりにくい制度設計も、合わせてお願いしたい。
小金井市では、「貴重な、緊急一時保育枠」のある公立保育園を廃園にする案が出されている。公立園廃園案の理由の一つは、「（近年多く増やした）民間園が定員割れしないように」。その「急増した民間園」の中に、一時保育枠のある園は少ない。市も市長も、片働き世帯の育児疲れやワンオペ育児中のアクシデント対策は、優先順位がかなり低いと見える。東京18区の国会議員は、子育て支援を！虐待防止を！と言いながら「保育は民間でコスパ良し」と軽々しく言い放ってしまう方と、乳幼児支援の公約が見当たらない方……参議院選挙では、よくよく考えて投票したい。
未だに、co2測定器を用いた、学校・幼稚園保育園の教室の換気モニタリングができていないのは、covid感染拡大防止の観点から、おかしいと思う。エアロゾル感染も認められたのに、空気が滞留する方向の「給食時のパーテーション（黙食）」が学校の感染予防策とされているのは、いかがなものか、と感じる。
私の夫は、救急隊員で、コロナ禍では多忙で残業も。私は専業主婦で、ワンオペ育児の時間が長くてつらい。ストレスも多く、虐待リスクも高まっていると感じる。一時保育実施園でも陽性者がでており、「濃厚接触者なし」と言われていたとしても、第七波の兆候がある中で、悩ましい。ベビーシッターの「サービス拡充・公費助成拡大・シッターとサービス利用世帯の定期的PCR検査」等、コロナ禍のレスパイト保育について、なんとか対策を増やして欲しい。
小学校のオンライン授業について。低学年の我が子、「端末を持ち帰り、試しに自宅からカメラを用いて通信してみましょう」という機会はまだない。小金井市教委は「休校等の際にはオンライン授業を」というが、今の段階で突然休校になったら、対応できないと思う。そういうところがおかしいと思うし、不安である。",""
"16","岩手県","大船渡市","30〜39歳","女性","0","0","0","0","0","0","0","","","地域に子どもの用品を購入する店舗がありません。これでは、子育てするにも遠方へ行かなければならない現状です。
そして、高齢者が多い地域でもあり、子どもが優先というよりかは、高齢者が優先？のような気もしなくはありません。",""
"17","埼玉県","","30〜39歳","女性","0","0","0","0","0","0","0","","","子供に関する給付金や無償化の所得制限はおかしい。親の年収が高くても、その分税金を納めているのに何ももらえないのはおかしい。これじゃ産めない。
出産費用についても地域差が大きすぎる。無償化すべき。",""
"18","熊本県","","30〜39歳","女性","1","0","0","1","0","0","0","","小学生 ","子育て世帯の所得制限で困っています。年少扶養控除も、配偶者控除もありません。
国民の為と思ってくださるのなら、頑張り損な世の中を変えてください！！
政治家さんのお力が必要です。将来を担う全ての子供達の未来の為にも頑張らない方が得な世の中にしてはいけないと思います。
全てにおける所得制限の撤廃を希望します。",""
"19","東京都","台東区","30〜39歳","女性","0","0","0","0","0","0","0","","","・子どもに対する補助や手当、無償化に対する所得制限がある(検討されている)ため、将来への不安があります。社会保険料や税負担は増えているのに、子どもを社会が受容してくれていないと感じる制度が多すぎます。
・子どもの近視を防ぐために週11時間以上日光を浴びるとよいと欧米での研究結果がありますが、園では園庭がなく外遊びが少ないです。北欧では青空ランチを行うなどの取り組みがあるようです。保育園や小学校でもそう言った取り組みを行なっていただきたいです。
・""小学一年生の壁""と言われる、小学校に進学すると放課後の預け場所がないという話を聞き、心配しています。希望すれば全員が学童に入れる制度を整えていただきたいです。
・通学路を車が猛スピードで運転していたり、歩行者優先ではない道路が多いです。ハンプを取り入れる等、安心して歩ける道路整備を行なっていただきたいです。
・子どもが性被害や危害を加えられることがないか不安です。不審者への対応について、事案発生後の対応方法を子どもに教えるのだけでなく、事案を未然に防ぐ方法を学校・警察・地域・保護者・法人が一体となって考える仕組みを作っていただきたいです。「不審者が入りやすく・周囲から見えにくい場所が危ない」という小宮信夫先生の理論があります。データに基づいた知見を活かして子どもが安全に過ごせる日本になってほしいです。死角になるような場所がない建物や公園を作ると減税が受けられるような制度等、検討していただきたいです。",""
"20","栃木県","宇都宮市","30〜39歳","女性","2","0","0","2","0","0","0","","小学生 ","離職をして、未就園児がいると、働きたくても預け先がなく働けない。特に1、2才クラスの定員が4月以外は空きがでない。","子供が何歳でも預けたいタイミングで自由に預けられて、働く時間も自由に選択できれば良いなと切に願います。"
"21","東京都","港区","50〜59歳","男性","0","0","0","0","0","0","0","","","①年少扶養控除、配偶者控除が無く税負担が大き過ぎる上に所得制限があり児童手当無し、保育料も高い。

親の経済状況で差別を生む政策は間違っている。
年少扶養控除、配偶者控除＝憲法が定める生存権
所得制限＝差別助長
非課税世代には別途困窮対策を実施で良い。

②保育士、教員数が足りていない。
教育の質を上げる上でも教育者の数確保と報酬が少な過ぎると感じる。

③教育国債による財源の長期安定化
一般歳費扱いでの予算割り当てでは、経済状況に影響されるため長期計画が必要な教育投資がなされず安心した子育て環境構築は出来ない。

よって候補者には必ず閣議決定されているPB黒字化に賛成か否かを問うて頂きたい。

賛成派＝子育て支援は表面的なアピールでしかない。
反対派＝子育て支援に期待出来る
無回答＝信じるに値しない(最低限の経済政策信念を持たない政治家)

④公立学校における外国人比率の制約(中等教育課程以降)
地域によっては外国人比率が高い公立学校もあると聞く。ある程度(10-15%)は良いと思うが、半数を超える様な状況は異常であり、改善が必要。
","ハンガリーが実施する少子化対策を今の日本でやらないと少子化は改善しない。

今や日本では結婚・子育ては贅沢なものになった。国民が困窮しているため家族を持つことが経済的に諦めている人も多い。
子供を持てる家庭は比較的裕福な経済状況にあるが、そこから更に増税・社会保険料負担など国民負担を上げていくため、もう一人を諦める家庭が多い。

間違った緊縮財政政策が30年続いた結果が今の状況であると正しく理解する事から始めるべき。

"
"22","東京都","豊島区","40〜49歳","男性","2","0","0","1","1","0","0","","小学生 中学生 ","自宅の最寄りの公立学校（小学校・中学校）に通えない。
学区の統合等により、遠方の学校が指定校とされ、最寄りの学校の学区外とされるケースが発生している。
新入学時のみ隣接学区の学校を選択できるが、途中からの転入者などは選択をできない。
境界付近の住民については複数校を選択できる「調整区域」などの制度を設けている自治体もあるが、現在居住している東京都豊島区では制度が設けられていない。",""
"23","東京都","杉並区","20〜29歳","女性","0","0","0","0","0","0","0","","","子どもに関する支援全般に係る所得制限に困っています。親の所得によって受けられる支援が違うのはおかしいと思います。扶養控除もなく、手当も所得制限で受けられなくなる予定です。更に様々な手当が今後所得制限により対象外になることが見込まれます。勤労意欲、そして2人目3人目を産む意欲が削がれる政策だと思います。都内では所得制限に引っかかる程度を資産なく、一から稼いでいる身としては贅沢な生活はできません。
私は3人子どもを希望しておりますが、夫はこのような政策の現状で、1人で良いと意見を変えております。子ども全員の支援をよろしくお願い致します。",""
"24","埼玉県","","30〜39歳","女性","0","0","0","0","0","0","0","","","親の所得によって子どもの支援に差がでること。
高所得と勝手に決められた中間層が所得制限によって苦しめられていること。
年少扶養控除がなくなったのに児童手当に所得制限がついたこと。
年少扶養控除がないこと。
奨学金すら所得制限で借りられないこと。
子育て支援の全ての所得制限はおかしい。
保育園も所得によってめちゃくちゃ高いこと。
累進課税も高く、年少扶養控除もないので生活が苦しくなること。
所得制限があるから2人目を産むのを諦めた。
子育て支援がコロコロ改悪されるから2人目は不安で産めない。","貧困対策と子育て支援を一緒にしないでほしい。
子育て支援はみんな平等にして、貧困対策は別にしてほしい。"
"25","東京都","江東区","40〜49歳","女性","3","0","0","1","1","1","0","","小学生 中学生 高校生 ","所得制限のせいで3人の子供を大学まで行かせてやる資金が足りない。年少扶養控除もなく所得制限で支援もなく子どもの人権を侵害されている。","子どもの差別やめてほしい"
"26","東京都","練馬区","40〜49歳","女性","3","0","0","1","0","2","0","","小学生 高校生 ","子ども3人世帯です。夫の所得制限により高校無償化などの補助は対象外です。5人生活するための住宅ローン、衣食住にかかる費用で困窮しており、私もフルタイムで働いています。余裕などまったくありませんし、長期休みは親は働きに出ていますので体験施設などにも連れていくこともかなわず、習い事や旅行などにかける金銭的余裕もなく、小学生１人家にひきこもり状態となります。
それでも働かなければ高校生二人の学費は支払えません。１人は今年公立高校に入れず私立となりました。3月から5月の我が家の学費は入学金含め100万円を超えます。
ただでさえ5人暮らすのに余裕がない収入でなぜ所得制限ということになるのか全く理解ができません。
すべての家計を提示してもいいですよ。
多子世帯の実態がわかっていないのではないでしょうか。
1000万を単純に5で割ってください。１人200万です。そこからもろもろ税金を差し引かれていくら残りますか？
小学校入学から就学手当をいただいても良いくらいと思っています。
未来の納税者という認識もないのでしょうか。

この先大学にすすむとなれば奨学金も所得制限で借りられないのですね。
金融機関の教育ローンはこども3人分、借入上限もあるでしょうし借りられますかね。
借りられても総額1000万近くなると思うと、もういつ払い終わるのか、地獄です。

これでは少子化まっしぐらです。

累進課税で税金はしっかり納めています。
子育て支援は平等でなければ納得がいきません。

とにかく、こども3人のギリギリ所得制限世帯、困窮しています。助けてください。",""
"27","東京都","","30〜39歳","女性","2","0","0","2","0","0","0","","小学生 ","子供への支援に関して、親の所得で制限するのはやめてください。基準の所得額が低すぎます。みんな子供を育てながら大変な思いで働いています。子育てするのに支援やお金はいくらあっても足りません。

年少扶養控除の復活を希望します。
年少扶養控除がないのは子供に対する基本的人権がないのと同義です。
子供は霞を食べて生きているわけではないのですよ！

出産費無償化を希望します！
子供を3人以上産んだら出産費用無償化、くらいで良いのでまずそこからお願いします！",""
"28","埼玉県","朝霞市","30〜39歳","女性","1","1","0","0","0","0","0","","妊娠中 ","子どもに関する所得制限や、子育て世帯への予算が少ないことが気になっています。子どもが皆等しく行政の支援？を受けるべきと考えています。周りにお金はないけれど私立高校に通える子と、所得制限に引っかかって私立には通えない子がいて疑問を感じています。それと同様幼い子でも親の収入で児童手当がもらえる家庭、貰えない家庭があったりすることが気になります。所得制限に引っかかるような家庭は、よりよい暮らしをしようと働き累進課税で税金を多く納めています。それでも恩恵は受けられないのが現状です。お金持ちでない私ですがそれはおかしいと思っています。働く世代が日本から流出したら日本は今より貧しくなりませんか。まずは自国をよりよくするための政治を望みます。",""
"29","東京都","町田市","40〜49歳","女性","3","0","0","3","0","0","0","","小学生 ","年少扶養控除廃止、児童手当廃止（予定）、高校無償化対象外による生活困窮に困っています。
所得制限により高校無償化ありません。可処分所得が逆転しています。よその子が私立高校へ行き、うちは子供が3人居るので経済的に公立しか選択肢はありません。累進課税で多くを納めているのに納得できません。
大学費用も貯めなければなりません。我が家は3人なので最低でも500万×3で1500万円程を貯めなければなりません。全て自助でしょうか？少子化に貢献し、未来の納税者を育てています。税金、控除を返して欲しいです！
臨時給付金もありませんでした。よその家族は家族旅行へ行っていました。主人が単身赴任中の我が家は、お金が無いので春休みはずっと自宅におりました。頑張って年収を上げた結果がこれですか？頑張り損、子育て損です。","回答下さい！"
"30","奈良県","生駒市","20〜29歳","男性","0","0","0","0","0","0","0","","","・0-2歳児の保育料の所得制限
・年少扶養控除がないこと
・児童手当の所得制限
・高校授業料無償化の所得制限
・大学授業料無償化の所得制限
・ちょっとした用事の時に預けられるところがない
・保育士の定期PCR検査の実施要望",""
"31","東京都","江東区","40〜49歳","女性","3","0","0","1","1","1","0","","小学生 中学生 高校生 ","年少扶養控除を復活してほしい。
年少扶養控除なし、所得制限で児童手当もなし、高校無償化もなし。
私の子は国にとって透明人間扱いされています。
子どもはご飯を食べます。なのに控除がないとはどういうことですか？生存権の侵害です。憲法違反です。
","日本は、子育てをして多く税金を納めると、
罰として子ども支援が受けられなくなる異常な国です。"
"32","静岡県","","40〜49歳","女性","0","0","0","0","0","0","0","","","児童手当に所得制限があるのは何故か。親の収入によって子供分断されている。
公立校に制服があるのはおかしい。特定の高価な衣装を自費で用意して着用しなければ教育が受けられないという事実は子供の教育を受ける権利を侵害している。保護者が自費で用意する学用品についても同じことが言える。",""
"33","大阪府","池田市","50〜59歳","女性","3","0","0","0","1","2","0","","中学生 高校生 ","扶養控除を廃止・減額された上での児童手当・高校無償化のはずですが、一部の子どもたちは児童手当も満額もらえず、公立高校でさえ無償化の対象外となっています。少子化を問題視される昨今、子どもの人数もあまり考慮されず、親の年収で差別される事はあってはいけないと思います。そもそも除外される層は扶養控除があれば自助で子育てできる層なのではないでしょうか。所得制限を撤廃するか扶養控除を復活させるか、いずれかの政策を求めます。","自分の子たちが子育て支援から外され我慢を強いなければならない状況が辛くてたまりません。"
"34","東京都","北区","30〜39歳","女性","0","0","0","0","0","0","0","","","年少扶養控除が撤廃されたにも関わらず、児童手当・高校無償化・奨学金などで所得制限がなされていることがおかしいです。世帯年収910万円を越えると全て自助になり、更に子どもの数に関わらず一切助成してもらえません。子どもを育てるために共働きしても、頑張れば頑張るほど子どもを増やすことができない制度になっています。
私は1人娘の母です。本当は数年後もう1人2人産みたかったです。産める体があるのに、産む選択ができません。1人しか育てられる余裕がなくなることが目に見えているからです。悔しくてたまりません。どうか年少扶養控除の復活や、所得ではなく子どもの人数による助成をお願いします。",""
"35","東京都","府中市","30〜39歳","女性","0","0","0","0","0","0","0","","","所得制限全般についてです。児童手当もそうですし、昨年末の未来応援給付も1割の子供は日本には不要、と政府に言われたような気がしました。政府側も｢未来を応援｣などと言いながら切り捨ては｢分断には当たらない｣とばっさり。私たちの子はいらない子ですか？｢困窮支援｣と｢子育て支援｣｢子供への支援｣をごちゃ混ぜにしないでください。成長する、学ぶのにある一定以上のお金がかかるのはどの子も同じです。このご時世、タブレットやPC、通信環境を整えたり出費がかさみます。どうか子供たちを無視しないでください。現金給付が問題なら、給食、制服、学用品の補助にしてください。",""
"36","東京都","板橋区","40〜49歳","女性","3","0","0","1","2","0","0","","小学生 中学生 ","所得制限","5人目1歳

子供5人の所得制限世帯。
これだけ子供がいても自助です。
ありえません。"
"37","神奈川県","川崎市","30〜39歳","女性","1","0","0","1","0","0","0","","小学生 ","所得制限です、いつまでこんな理不尽で我が子が差別される制度に付き合わないといけないのですか？？
我が子は他の子が無料で受ける医療を有料でしか受けられず、認可保育園に通えば満額の費用を求められてきました。長女は今年小学生ですが、祖父母は特に裕福でもなく、なんなら親が時々お金を送っているような状況で新品のランドセルは、低予算の中から選んでいました。
とても喜んでいましたが、他所の家と同じ給付金があれば、一番最初に欲しがったランドセルを買ってあげられただろうなと思うと、なぜ年間世帯で数百万納税しながら、差別を受けないといけないかと狂いそうになります。
我が子が国から未来を応援してもらえない、児童手当はカット、そしてこの先行きたい高校があっても、親の所得故に支援対象外（親は自分の親を生活保護にしないためにがんばってるのに）、行きたい大学があっても、奨学金すら親の所得のせいで借りられません。高額納税は犯罪ですか？自分の親を助けることは悪ですか？？？なぜ我が子が他のこどもが得られる支援すらないのか、もう全く理解できません。こどもが笑うたび、こんなこどもをおいつめる国を呪いそうになります。","所得制限のストレスがひどくて、鬱になりそうです、私の友人は自営業者夫と、サラリーマン妻で、世帯1800近くあります。その家は車も家賃も経費で、こどもの支援が国から満額出ています。
なぜそれを横目に、我が子はなにももらえないんだろうと、こんなくだらないことを考えるのをやめたいです。"
"38","神奈川県","川崎市","30〜39歳","女性","0","0","0","0","0","0","0","","","年少扶養控除が廃止され、子供手当になったはずだが、子供手当に所得制限が課される形となった事。我が家は子供手当が受け取れません。
その他、高校学費の無償化、奨学金にも所得制限がある事。2人目、3人目と考えたい所ですが、保育料も高く、学費も高くなっていると聞きますので、悩んでいます。
少子化対策が必要な現代で、なぜこのような改悪が起こるのでしょうか。
働き損、少子化対策皆無の日本の未来がどうきても悲観され、我が子に申し訳ない気持ちです。
安心して子供を産み、育てられる社会になって欲しいです。
子供基本法にて、差別されない、平等に教育を受ける権利があるとされたようですが、富裕層（実質の中間層）の子供は、差別により手当を受け取らず、高校学費の無償化の対象外の為私学進学を諦めなければならない、全く平等ではなく、貧困層の権利とあべこべになっています。累進課税で税を納めて、高い保育料を払い、何重にも徴収される事に働く意味を見失います。
子供に関する手当に関し、平等にして欲しいです。所得制限の撤廃をお願いいたします。",""
"39","東京都","","40〜49歳","女性","2","0","0","0","1","1","0","","中学生 高校生 ","現政策では親の収入で 所得制限になる世帯の子どもたちが、子どもまんなかには入れてもらえず、虐げられています。

10万円給付どころか、対象外の手当がこんななたくさん。

子どもの人数が増えるほど、もらえない手当、自助の額が増え困窮。
それなのに国の教育ローンや大学の奨学金すら借りられない。
周りの子が高校無償化で私立を選べるのに、我が子は私立を諦めなければいけない。所得制限世帯は、いったい何のために高額納税しているのでしょうか？

子育て 障害児福祉の 所得制限 

【利用不可系】
児童手当
臨時特別給付金
高等学校等就学支援金
高等教育の修学支援新制度
奨学金申込権利
大学寮入寮条件
補装具費支給制度
特別支援教育就学奨励
特別児童扶養手当
障害児福祉手当
特別児童扶養手当
自立支援医療

【応能負担系】
高額療養費の自己負担額
乳幼児医療費
小児慢性疾病にかかる自己負担上限額
重度心身障害者（障害児）医療費助成
児童発達支援・放課後等デイサービス
難病医療費助成","日本税理士会連合会が 財務省、国税庁、総務省、中小企業庁などに提出した
「令和4年度税制改正に関する建議書」には
児童手当または 年少扶養控除復活 すべきと書かれています。
どうか 所得制限 で子どもや障害児福祉に関する手当がうけられない子の救済をお願いします！ 

https://www.nichizeiren.or.jp/nichizeiren/proposal/taxation/"
"40","埼玉県","川口","40〜49歳","女性","2","0","0","2","0","0","0","","小学生 ","超氷河期世代。まず、安定した仕事に就けない。旦那はモラハラ、金銭DV。子供2人いるが、経済的な不安から離婚できない。母の私1人の収入で、今の生活や将来の安定した生活ができるかを考えると、とても出ないができない。本当に凹む。","2人目は発達に問題がある。"
"41","東京都","東京都渋谷区","20〜29歳","女性","0","0","0","0","0","0","0","","","各種支援の所得制限。こんな制度じゃ子供を産めません。産めたとしても教育を受けさせてあげられません。なんで制限するのでしょうか。きちんと累進課税を支払っています。貧困支援ではなく、子育て支援というので有れば一律に支援していただきたいです。全て撤廃してください。
育児休暇の期間を3歳までの希望者制に延長改訂してください。保育料無償化は3歳以上からなのに、なぜ育休手当は1歳（最大2歳）まだなのでしょうか。2歳から3歳の一年はどうして支援がないのでしょうか？","一律の支援を整備して、子どもを産みたいと思える社会にしてほしいです。"
"42","茨城県","水戸市","30〜39歳","女性","0","0","0","0","0","0","0","","","年々子育て支援が削減・所得制限がつくのが納得できません。児童手当貰えてありがたいと思ってました。しかし、年少扶養控除がなくなるかわりの手当なんですね。それも金額は控除額より遥かに低い。あろうことか、所得制限までつきました。高校無償化も高等教育無償化も所得制限があります。16歳以上の特別控除もなくなりました。妊娠出産だって全額カバーしてるわけじゃない。
そのくせ、後期高齢者支援金なんてものを生まれた瞬間から発生してるのも知りました。
この国は子どもを産み育てるという事をどの様に考えてるのでしょうか？長く続く少子化は国難なんではないですか？消費税増税は社会福祉費に使用されるのではなかったのですか？高齢者支援も大切でしょう。私たち子育て世代は見えていますか？子どもたちの姿は、子どもたちの未来は見えていますか？
ただでさえ、経済的にも社会情勢的にも苦しい中日々子どもと向き合い、模索しながら子育てしている私たちはあまりにも厳しい目を向けられ、支援の手は離れ安心して生きられるとは程遠い生活をしています。
経済格差、教育格差がこれ以上拡大しない為にも、少子化を加速させない為にも、所得制限撤廃、子育て支援の拡充を真剣に考えてください。これらは、私たち親への支援ではなく、全ての子どもたちへの支援である事をもう一度思い出してください。",""
"43","千葉県","千葉市","40〜49歳","女性","0","0","0","0","0","0","0","","","子育て支援の所得制限について。
まず世帯所得ではなく、世帯主の所得で判断というところもおかしいし、世帯の人数が全く加味されていない点もおかしいと感じます。また財源に限りがあるというのも理解しますが、あるボーダーを超えたゼロになるというようにバッサリと切り捨てるのではなく、グラデーションをつけるような丁寧な制度設計に変えてもらえないかと思います。
コロナで低所得の子育て世帯への特別給付が複数回行われていますが、コロナで収入が減った家庭が対象になっているのでしょうか？コロナ前から低所得という家庭も含まれているのではないか？何か変だなと思ってしまいます。",""
"44","兵庫県","伊丹市","30〜39歳","女性","0","0","0","0","0","0","0","","","子どもの支援の所得制限をやめていただきたいです。
児童手当、医療費、特別給付金など全てにおいてうちの子は支援を受けられていません。
子どもの支援は一律にしてほしいです。

もっと子どもを産み育てたかったですが、制限をかけられて難しいです。",""
"45","大阪府","箕面市","20〜29歳","女性","0","0","0","0","0","0","0","","","少子化なのに待機児童がいる事。待機児童ゼロといいながら待機児童がいる実態。シングルマザーが異性と同居しているだけで経済的支援があるとみなされている事(中には経済的支援を受けている方もいると思うんですが、そうでない方もいます。近年LGBTなどありますが、事実婚でもないのに子どもの保育園の通知が連名できたり、相手の就労状況や税金についても調べられて不快です。そして同居人がいるだけでひとり親から除外されること。同居人が他人の子育てると思いますか？事実婚状態にあるなら経済的支援や育児の協力を得られると思いますが、そうでない同居もあります。子どもを養子縁組しているなら事実婚とみなしてもいいと思うのですが異性の同居人がいると事実婚になるのはおかしい。自治体に訴えて保育園入園の加点、母子手当を受けるために同居人と別々に生活しようとすると以前、同居人がいたからひとり親には該当しないと言われました。)。所得制限はやめてください。子ども達はみんな平等です。所得制限のせいで偽装離婚している人達がたくさんいるのを政府は知っていますか？どうか今後の子ども達の生きる日本が住み良い日本になりますように、お願いします。","私は離婚をして2人の子をもつシングルマザーです。今は職場の友人(男性)と暮らしています。家の契約は友人にしてもらっていますが生活費は折半しています。他人と同居しているというところから母子手当はもらえず、ひとり親から外され待機児童となり働けなくなりました。なんとか夜に働き、貯金を切り崩し生計を立てています。周りからはシングルマザーで色々支援してもらえてるでしょ？いいね！と言われますがそんな事ありません。一切支援してもらっていないです。事実婚や養子縁組がなされていない同居者がいるシングルマザーの生活にも目を向けてください。一概に同居人(異性)いるから経済的支援、育児支援してもらってるなんて思わないでください。"
"46","東京都","世田谷区","30〜39歳","女性","1","0","0","1","0","0","0","","小学生 ","所得制限があること。出生率が下がっている現在も保育園に子供を預けられない状況。基本的に母親が育児をすべきという風潮。
出生率を増やしたいのか、このまま人口減で良いのか、その方針すらわからない。
子育て世代への支援が的外れであるので、当事者の意見を吸い上げて政策を決めて欲しい。",""
"47","神奈川県","横浜市","30〜39歳","女性","1","0","0","1","0","0","0","","小学生 ","子育て支援全般の所得制限について。子ども3人欲しくて所得を頑張ってあげた結果、全ての支援がなくなり3人目を諦めなければならなくなった。子どもを産むために年収を下げたり、離婚を考えるなんておかしいと思います。本来、逆では？",""
"48","東京都","世田谷区","20〜29歳","女性","0","0","0","0","0","0","0","","","所得制限。夫婦共々頑張って働いて、多額の税金を納めているのに子育て支援がない。二人目ほしいけど、高騰する学費、自分たちの老後まで考えると一人で限界。自分の能力を高めて楽して稼いでるわけではないし、子どもも産んで未来の納税者を育ててるのに罰があたってる。とてもじゃないが、働く意欲もわかないし、子どもを沢山うもうとは思わない。","所得制限の撤廃を何卒お願いします。子どもには等しくお金がかかります。頑張って働いたら支援を得られない、なんて頑張らない者勝ちでは。やるせないです。"
